Unnamed: 0,"IC50, mM","CC50, mM",SPS,Kappa2,Kappa3,PEOE_VSA8,SMR_VSA4,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState8,MolLogP,SI
782,67.00203,335.20535,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,5.0029135
783,71.999016,318.90378,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,4.42928
784,41.002075,363.00668,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,8.853374
785,64.00161,362.50473,55.384617,2.5025263,1.0921328,6.041841,28.902376,38.52493,0.0,6.769653,2.2431943,2.55,5.6639943
786,0.108830296,0.80022275,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,7.352941
787,2.999235,0.80022275,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,0.26680896
788,29.000074,0.80022275,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,0.02759382
789,1.501218,0.80022275,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,0.53304905
790,16.001255,0.70099515,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,0.043808762
791,21.001047,0.70099515,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,0.03337906
792,0.15044188,0.998678,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,6.638298
793,0.009602673,0.998678,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
794,0.05121426,99.99904,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
795,0.96026736,960.26733,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
796,0.032008912,128.09006,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
797,18.990887,35.16819,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,1.8518456
798,0.19845524,160.29742,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
799,0.016004456,249.9992,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,3.0443535
800,8.299911,299.99713,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,36.14462
801,49.898693,1805.0818,24.818182,8.901512,5.103401,18.538683,5.7336674,6.923737,2.8409796,6.6776056,7.615276,1.2854,36.17493
802,7.501771,100.00041,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,13.33024
803,9.999632,1.1015155,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,0.11015561
804,8.701563,1.1015155,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,0.12658824
805,8.201991,1.1015155,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,0.13429855
806,10.9987755,100.00041,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,9.091958
807,9.999632,250.00307,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,25.001228
808,98.276474,1310.353,32.882355,4.3727503,2.0017705,0.0,5.7336674,0.0,3.4937158,4.9712152,-0.43839246,3.4337502,13.333333
